,water_depth (m),shear_stress (Pa),sea_tem (℃),x_velocity (m/s),y_velocity (m/s)
2016-01-01 00:00:00,0.21073183,0.0,6.0,0.0,0.0
2016-01-01 01:00:00,0.20378157,0.010435851,8.385894,0.026870864,0.021375353
2016-01-01 02:00:00,0.10128778,0.06994185,11.389301,0.038500644,0.06906863
2016-01-01 03:00:00,0.02110324,0.017025573,21.220755,-0.029252864,-0.0055955043
2016-01-01 04:00:00,0.0006892175,0.0,28.017365,0.0019555672,0.00060865004
2016-01-01 05:00:00,0.0005074596,0.0,29.896963,0.0,0.0
2016-01-01 06:00:00,0.0005074596,0.0,29.896963,0.0,0.0
2016-01-01 07:00:00,0.51913196,0.34205294,18.60331,-0.111988164,-0.20079719
2016-01-01 08:00:00,0.89478976,0.06276641,16.800184,-0.035235614,-0.10199248
2016-01-01 09:00:00,0.8394735,0.033142034,16.430897,0.0560374,0.053661108
2016-01-01 10:00:00,0.5917352,0.15726204,17.389626,0.09979709,0.12435877
2016-01-01 11:00:00,0.30870715,0.28777853,17.924196,0.12731452,0.14567003
2016-01-01 12:00:00,0.1295547,0.19181553,19.842688,0.08639542,0.10565612
2016-01-01 13:00:00,0.051363643,0.050141178,19.700573,0.028541336,0.0521772
2016-01-01 14:00:00,0.012837353,0.04648511,19.325878,0.03500998,0.022773132
2016-01-01 15:00:00,0.0033511184,0.00022428854,18.977942,0.0024276532,-0.00033687113
2016-01-01 16:00:00,0.0007720591,0.0,18.761341,0.0033036077,0.0010282138
2016-01-01 17:00:00,0.0005010637,0.0,18.62408,0.0,0.0
2016-01-01 18:00:00,0.07744242,0.20615351,18.529299,-0.052498963,-0.11835564
2016-01-01 19:00:00,0.5176637,0.1404127,15.619161,-0.07486489,-0.12681067
2016-01-01 20:00:00,0.67209923,0.0036654975,14.38156,-0.0011191283,-0.024834743
2016-01-01 21:00:00,0.58337903,0.08411112,14.29865,0.070634365,0.09243349
2016-01-01 22:00:00,0.3566725,0.17081757,16.235905,0.09398965,0.1203363
2016-01-01 23:00:00,0.15300106,0.17792067,17.28915,0.0814448,0.107964195
2016-01-02 00:00:00,0.054574348,0.030791014,20.048992,0.004170269,0.046963975
2016-01-02 01:00:00,0.007410887,0.0077542528,25.105946,-0.016810404,0.00042297627
2016-01-02 02:00:00,0.00058696046,0.0,28.461456,0.0,0.0
2016-01-02 03:00:00,0.0004996055,0.0,29.800262,0.0,0.0
2016-01-02 04:00:00,0.0004996055,0.0,29.800262,0.0,0.0
2016-01-02 05:00:00,0.0004996055,0.0,29.800262,0.0,0.0
2016-01-02 06:00:00,0.0004996055,0.0,29.800262,0.0,0.0
2016-01-02 07:00:00,0.31262067,0.39446196,25.581877,-0.11878226,-0.19314
2016-01-02 08:00:00,0.71637,0.08440955,21.791655,-0.038613413,-0.11420761
2016-01-02 09:00:00,0.80470675,0.010096406,25.062891,0.03769893,0.019669304
2016-01-02 10:00:00,0.6456458,0.12990935,25.103876,0.09623029,0.111184485
2016-01-02 11:00:00,0.39749405,0.23143952,23.232105,0.116904974,0.13816361
2016-01-02 12:00:00,0.1769526,0.26501063,24.996342,0.10696673,0.13099372
2016-01-02 13:00:00,0.070728585,0.094335474,23.946857,0.03878173,0.07708389
2016-01-02 14:00:00,0.019490661,0.0557325,22.279436,0.022109335,0.047092594
2016-01-02 15:00:00,0.0052928682,0.0059099747,21.103521,-0.002772687,0.0124285575
2016-01-02 16:00:00,0.001771093,0.0,20.256884,0.0065736813,0.009433114
2016-01-02 17:00:00,0.001193764,0.0,19.81897,0.0033809545,0.002534217
2016-01-02 18:00:00,0.00063753326,0.0,19.507118,0.004123424,0.0012833731
2016-01-02 19:00:00,0.08063503,0.25973555,20.199917,-0.09269379,-0.11338015
2016-01-02 20:00:00,0.36986923,0.080318145,20.83332,-0.058751963,-0.08736201
2016-01-02 21:00:00,0.4253745,0.010507112,20.227919,0.021366848,0.03261522
2016-01-02 22:00:00,0.3186264,0.08278756,18.990576,0.06207672,0.0838554
2016-01-02 23:00:00,0.16150331,0.11475429,20.53607,0.063797474,0.089143254
2016-01-03 00:00:00,0.055584777,0.027197486,22.803904,-0.0049974294,0.04418613
2016-01-03 01:00:00,0.007022983,0.019535176,26.915672,-0.025556682,-0.0068764496
2016-01-03 02:00:00,0.0008492801,0.0,30.122225,0.002010245,0.000625668
2016-01-03 03:00:00,0.0005354458,0.0,32.86798,0.0008201263,0.00025525584
2016-01-03 04:00:00,0.0004957429,0.0,33.240437,0.0,0.0
2016-01-03 05:00:00,0.0004957429,0.0,33.240437,0.0,0.0
2016-01-03 06:00:00,0.0004957429,0.0,33.240437,0.0,0.0
2016-01-03 07:00:00,0.09710599,0.4213761,34.96931,-0.11754656,-0.15238005
2016-01-03 08:00:00,0.51779723,0.134512,28.00724,-0.06478479,-0.1287559
2016-01-03 09:00:00,0.73939407,0.021681763,26.634947,0.0023967086,-0.06138379
2016-01-03 10:00:00,0.7294839,0.05238135,27.546583,0.07378023,0.060292978
2016-01-03 11:00:00,0.5445918,0.18274102,26.180233,0.11206731,0.1271784
2016-01-03 12:00:00,0.30594668,0.2837968,26.010376,0.12646984,0.14422627
2016-01-03 13:00:00,0.1323488,0.22891198,26.110142,0.090341985,0.1193232
2016-01-03 14:00:00,0.049203757,0.08726599,24.028025,0.027091447,0.072964184
2016-01-03 15:00:00,0.009263618,0.04499313,22.273424,0.02097723,0.03312453
2016-01-03 16:00:00,0.0013526292,0.0,21.091946,0.0,0.0
2016-01-03 17:00:00,0.0012678236,0.0014526666,20.477459,-0.0050984123,-0.0029508974
2016-01-03 18:00:00,0.0011207605,0.000802897,19.970152,-0.0029535098,-0.0030747282
2016-01-03 19:00:00,0.0008808014,0.0,19.667404,0.0,0.0
2016-01-03 20:00:00,0.00050044945,0.0,19.428696,0.0,0.0
2016-01-03 21:00:00,0.17116328,0.03184492,20.154915,-0.040825758,-0.04152286
2016-01-03 22:00:00,0.21077326,0.050843526,20.18447,0.05120269,0.056470778
2016-01-03 23:00:00,0.152557,0.10163128,20.897387,0.06284494,0.08051934
2016-01-04 00:00:00,0.06660487,0.050078873,23.645248,0.014826179,0.060472235
2016-01-04 01:00:00,0.010340273,0.016392902,27.023113,-0.01951225,0.015558414
2016-01-04 02:00:00,0.0008089799,0.0,29.957026,0.0,0.0
2016-01-04 03:00:00,0.0005187761,0.0,32.339066,0.0017718704,0.0005514764
2016-01-04 04:00:00,0.0004987537,0.0,32.607655,0.0,0.0
2016-01-04 05:00:00,0.0004987537,0.0,32.607655,0.0,0.0
2016-01-04 06:00:00,0.0004987537,0.0,32.607655,0.0,0.0
2016-01-04 07:00:00,0.0004987537,0.0,32.607655,0.0,0.0
2016-01-04 08:00:00,0.24353096,0.24794567,29.370808,-0.09469832,-0.1440232
2016-01-04 09:00:00,0.5358449,0.044401027,26.500698,-0.023423554,-0.07993091
